ball,over,runs,commentary
1,1,0,"Ashwin to Sharma, no run"
2,1,0,"Ashwin to Sharma, no run"
3,1,6,"Ashwin to Sharma, SIX runs"
4,1,1,"Ashwin to Sharma, 1 run"
5,1,0,"Ashwin to de Kock, no run"
6,1,1,"Ashwin to de Kock, 1 run"
1,2,0,"Rabada to de Kock, no run"
2,2,4,"Rabada to de Kock, FOUR runs"
3,2,4,"Rabada to de Kock, 4 leg byes"
4,2,0,"Rabada to de Kock, no run"
5,2,6,"Rabada to de Kock, SIX runs"
6,2,4,"Rabada to de Kock, FOUR runs"
1,3,1,"Ashwin to Sharma, 1 run"
2,3,1,"Ashwin to de Kock, 1 run"
3,3,0,"Ashwin to Sharma, no run"
4,3,1,"Ashwin to Sharma, 1 run"
5,3,0,"Ashwin to de Kock, no run"
6,3,4,"Ashwin to de Kock, FOUR runs"
1,4,2,"Nortje to Sharma, 2 runs"
2,4,0,"Nortje to Sharma, no run"
3,4,0,"Nortje to Sharma, no run"
4,4,4,"Nortje to Sharma, FOUR runs"
5,4,0,"Nortje to Sharma, no run"
6,4,6,"Nortje to Sharma, SIX runs"
1,5,0,"Stoinis to de Kock, OUT"
2,5,4,"Stoinis to SA Yadav, FOUR runs"
3,5,6,"Stoinis to SA Yadav, SIX runs"
4,5,0,"Stoinis to SA Yadav, no run"
5,5,1,"Stoinis to SA Yadav, 1 run"
6,5,2,"Stoinis to Sharma, 2 runs"
1,6,0,"Patel to SA Yadav, no run"
2,6,0,"Patel to SA Yadav, no run"
3,6,0,"Patel to SA Yadav, no run"
4,6,1,"Patel to SA Yadav, 1 run"
5,6,1,"Patel to Sharma, 1 run"
6,6,1,"Patel to SA Yadav, 1 run"
1,7,1,"Dubey to SA Yadav, 1 run"
2,7,0,"Dubey to Sharma, no run"
3,7,1,"Dubey to Sharma, 1 run"
4,7,1,"Dubey to SA Yadav, 1 run"
5,7,0,"Dubey to Sharma, no run"
6,7,1,"Dubey to Sharma, 1 run"
1,8,0,"Patel to Sharma, no run"
2,8,1,"Patel to Sharma, 1 run"
3,8,0,"Patel to SA Yadav, no run"
4,8,0,"Patel to SA Yadav, no run"
5,8,1,"Patel to SA Yadav, 1 run"
6,8,0,"Patel to Sharma, no run"
1,9,0,"Dubey to SA Yadav, no run"
2,9,1,"Dubey to SA Yadav, 1 run"
3,9,6,"Dubey to Sharma, SIX runs"
4,9,0,"Dubey to Sharma, no run"
5,9,6,"Dubey to Sharma, SIX runs"
6,9,1,"Dubey to Sharma, 1 run"
1,10,0,"Patel to Sharma, no run"
2,10,4,"Patel to Sharma, FOUR runs"
3,10,1,"Patel to Sharma, 1 run"
4,10,0,"Patel to SA Yadav, no run"
5,10,1,"Patel to SA Yadav, 1 run"
6,10,1,"Patel to Sharma, 1 run"
1,11,1,"Ashwin to Sharma, 1 run"
2,11,0,"Ashwin to SA Yadav, no run"
3,11,1,"Ashwin to SA Yadav, 1 run"
4,11,0,"Ashwin to Sharma, no run"
5,11,0,"Ashwin to Sharma, OUT"
6,11,1,"Ashwin to Ishan Kishan, 1 run"
1,12,1,"Rabada to Ishan Kishan, 1 run"
2,12,1,"Rabada to Sharma, 1 run"
3,12,1,"Rabada to Ishan Kishan, 1 run"
4,12,0,"Rabada to Sharma, no run"
5,12,4,"Rabada to Sharma, FOUR runs"
6,12,4,"Rabada to Sharma, FOUR runs"
1,13,1,"Ashwin to Ishan Kishan, 1 run"
2,13,1,"Ashwin to Sharma, 1 run"
3,13,1,"Ashwin to Ishan Kishan, 1 run"
4,13,4,"Ashwin to Sharma, FOUR runs"
5,13,1,"Ashwin to Sharma, 1 run"
6,13,2,"Ashwin to Ishan Kishan, 2 runs"
1,14,1,"Patel to Sharma, 1 run"
2,14,1,"Patel to Ishan Kishan, 1 run"
3,14,1,"Patel to Sharma, 1 run"
4,14,0,"Patel to Ishan Kishan, no run"
5,14,1,"Patel to Ishan Kishan, 1 run"
6,14,0,"Patel to Sharma, no run"
1,15,1,"Stoinis to Ishan Kishan, 1 run"
2,15,0,"Stoinis to Sharma, no run"
3,15,1,"Stoinis to Sharma, 1 run"
4,15,6,"Stoinis to Ishan Kishan, SIX runs"
5,15,1,"Stoinis to Ishan Kishan, 1 run"
6,15,1,"Stoinis to Sharma, 1 run"
1,16,1,"Dubey to Sharma, 1 run"
2,16,4,"Dubey to Ishan Kishan, FOUR runs"
3,16,4,"Dubey to Ishan Kishan, FOUR runs"
4,16,1,"Dubey to Ishan Kishan, 1 run"
5,16,0,"Dubey to Sharma, no run"
6,16,1,"Dubey to Sharma, 1 run"
1,17,0,"Nortje to Sharma, no run"
2,17,0,"Nortje to Sharma, OUT"
3,17,1,"Nortje to Ishan Kishan, 1 run"
4,17,4,"Nortje to Pollard, FOUR runs"
5,17,4,"Nortje to Pollard, FOUR runs"
6,17,1,"Nortje to Pollard, 1 run"
1,18,0,"Rabada to Pollard, OUT"
2,18,1,"Rabada to HH Pandya, 1 run"
3,18,4,"Rabada to Ishan Kishan, FOUR runs"
4,18,1,"Rabada to Ishan Kishan, 1 run"
5,18,0,"Rabada to HH Pandya, no run"
6,18,1,"Rabada to HH Pandya, 1 run"
1,19,1,"Nortje to HH Pandya, 1 run"
2,19,1,"Nortje to Ishan Kishan, 1 run"
3,19,0,"Nortje to HH Pandya, OUT"
4,19,1,"Nortje to KH Pandya, 1 run"
